Customer ID,Customer Name,Segment,City,State,Country
CG-12520,Claire Gute,Consumer,Henderson,Kentucky,United States
CG-12520,Claire Gute,Consumer,Henderson,Kentucky,United States
DV-13045,Darrin Van Huff,Corporate,Los Angeles,California,United States
SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States
SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,United States
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,United States
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,United States
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,United States
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,United States
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,United States
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,United States
AA-10480,Andrew Allen,Consumer,Concord,North Carolina,United States
IM-15070,Irene Maddox,Consumer,Seattle,Washington,United States
HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,United States
HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,United States
PK-19075,Pete Kriz,Consumer,Madison,Wisconsin,United States
AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,United States
ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,United States
ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,United States
ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,United States
KB-16585,Ken Black,Corporate,Fremont,Nebraska,United States
KB-16585,Ken Black,Corporate,Fremont,Nebraska,United States
SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,United States
EB-13870,Emily Burns,Consumer,Orem,Utah,United States
EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,United States
EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,United States
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,United States
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,United States
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,United States
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,United States
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,United States
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,United States
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,United States
MA-17560,Matt Abelman,Home Office,Houston,Texas,United States
GH-14485,Gene Hale,Corporate,Richardson,Texas,United States
GH-14485,Gene Hale,Corporate,Richardson,Texas,United States
SN-20710,Steve Nguyen,Home Office,Houston,Texas,United States
SN-20710,Steve Nguyen,Home Office,Houston,Texas,United States
SN-20710,Steve Nguyen,Home Office,Houston,Texas,United States
SN-20710,Steve Nguyen,Home Office,Houston,Texas,United States
LC-16930,Linda Cazamias,Corporate,Naperville,Illinois,United States
RA-19885,Ruben Ausman,Corporate,Los Angeles,California,United States
ES-14080,Erin Smith,Corporate,Melbourne,Florida,United States
ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,United States
ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,United States
PO-18865,Patrick O'Donnell,Consumer,Westland,Michigan,United States
LH-16900,Lena Hernandez,Consumer,Dover,Delaware,United States
LH-16900,Lena Hernandez,Consumer,Dover,Delaware,United States
DP-13000,Darren Powers,Consumer,New Albany,Indiana,United States
DP-13000,Darren Powers,Consumer,New Albany,Indiana,United States
DP-13000,Darren Powers,Consumer,New Albany,Indiana,United States
DP-13000,Darren Powers,Consumer,New Albany,Indiana,United States
JM-15265,Janet Molinari,Corporate,New York City,New York,United States
JM-15265,Janet Molinari,Corporate,New York City,New York,United States
TB-21055,Ted Butterfield,Consumer,Troy,New York,United States
TB-21055,Ted Butterfield,Consumer,Troy,New York,United States
TB-21055,Ted Butterfield,Consumer,Troy,New York,United States
TB-21055,Ted Butterfield,Consumer,Troy,New York,United States
TB-21055,Ted Butterfield,Consumer,Troy,New York,United States
TB-21055,Ted Butterfield,Consumer,Troy,New York,United States
TB-21055,Ted Butterfield,Consumer,Troy,New York,United States
KM-16720,Kunst Miller,Consumer,Los Angeles,California,United States
KM-16720,Kunst Miller,Consumer,Los Angeles,California,United States
KM-16720,Kunst Miller,Consumer,Los Angeles,California,United States
KM-16720,Kunst Miller,Consumer,Los Angeles,California,United States
PS-18970,Paul Stevenson,Home Office,Chicago,Illinois,United States
BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,United States
BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,United States
KD-16270,Karen Daniels,Consumer,Springfield,Virginia,United States
HM-14980,Henry MacAllister,Consumer,New York City,New York,United States
TB-21520,Tracy Blumstein,Consumer,Jackson,Michigan,United States
JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,United States
JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,United States
JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,United States
KB-16600,Ken Brennan,Corporate,Houston,Texas,United States
KB-16600,Ken Brennan,Corporate,Houston,Texas,United States
KB-16600,Ken Brennan,Corporate,Houston,Texas,United States
JE-15745,Joel Eaton,Consumer,Houston,Texas,United States
SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,United States
SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,United States
DN-13690,Duane Noonan,Consumer,San Francisco,California,United States
DN-13690,Duane Noonan,Consumer,San Francisco,California,United States
JC-16105,Julie Creighton,Corporate,Durham,North Carolina,United States
CS-12400,Christopher Schild,Home Office,Chicago,Illinois,United States
PO-18865,Patrick O'Donnell,Consumer,Columbia,South Carolina,United States
PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,United States
PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,United States
GM-14455,Gary Mitchum,Home Office,Houston,Texas,United States
JS-15685,Jim Sink,Corporate,Los Angeles,California,United States
JS-15685,Jim Sink,Corporate,Los Angeles,California,United States
JS-15685,Jim Sink,Corporate,Los Angeles,California,United States
KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,United States
KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,United States
KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,United States
RB-19705,Roger Barcio,Home Office,Portland,Oregon,United States
PN-18775,Parhena Norris,Home Office,New York City,New York,United States
KD-16345,Katherine Ducich,Consumer,San Francisco,California,United States
ER-13855,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,United States
RB-19465,Rick Bensley,Home Office,Chicago,Illinois,United States
RB-19465,Rick Bensley,Home Office,Chicago,Illinois,United States
RB-19465,Rick Bensley,Home Office,Chicago,Illinois,United States
GZ-14470,Gary Zandusky,Consumer,Rochester,Minnesota,United States
LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,United States
