order_id,customer_name,category,sales,profit,region
CA-2014-134677,Xylona Preis,Technology,9.09,1.9089,West
CA-2014-149958,Alan Shonely,Office Supplies,43.188,-31.6712,South
US-2016-156097,Eugene Hildebrand,Furniture,701.372,-50.098,Central
CA-2016-161669,Eudokia Martin,Office Supplies,14.62,6.8714,West
US-2016-143819,Karen Daniels,Office Supplies,362.92,105.2468,East
CA-2014-118339,Bradley Nguyen,Office Supplies,93.78,36.5742,Central
US-2017-120418,Becky Castell,Office Supplies,15.872,1.984,West
CA-2017-108574,Mike Gockenbach,Technology,1115.91,200.8638,West
CA-2016-155439,Parhena Norris,Office Supplies,25.92,12.4416,South
US-2014-155502,Shirley Daniels,Office Supplies,16.68,8.34,South
US-2016-115455,Sanjit Engle,Furniture,14.136,-7.7748,Central
CA-2016-139878,Lisa DeCherney,Technology,257.98,74.8142,Central
CA-2016-130029,Guy Thornton,Office Supplies,3.96,0.0792,West
CA-2014-121167,Mary O'Rourke,Office Supplies,17.248,6.0368,East
CA-2017-100160,Cassandra Brandow,Office Supplies,4.896,1.6524,East
US-2014-138247,Ben Ferrer,Office Supplies,20.34,0.2034,West
CA-2017-138464,Vicky Freymann,Office Supplies,13.12,4.3296,West
CA-2015-130218,Sheri Gordon,Office Supplies,27.92,0.5584,South
CA-2016-120005,Theresa Swint,Office Supplies,25.35,7.605,West
US-2016-148901,Michael Kennedy,Office Supplies,13.392,-9.8208,South
US-2016-153815,Kelly Lampkin,Office Supplies,36.112,12.6392,South
CA-2017-147452,Cari Sayre,Office Supplies,167.94,82.2906,West
CA-2015-168529,Maria Bertelson,Furniture,145.9,62.737,West
CA-2017-163818,Paul Stevenson,Furniture,19.98,8.5914,East
CA-2017-111262,Keith Herrera,Technology,24.0,-2.7,Central
CA-2015-107678,Juliana Krohn,Office Supplies,21.3,9.798,South
US-2016-152373,Pete Takahito,Office Supplies,93.456,-17.523,Central
CA-2014-111899,Nat Carroll,Office Supplies,37.84,2.838,Central
CA-2014-131947,Joseph Airdo,Technology,55.92,16.776,West
CA-2016-134334,Dave Kipp,Furniture,10.56,4.6464,East
CA-2015-145814,Katherine Ducich,Office Supplies,5.984,2.244,East
CA-2016-132997,Luke Weiss,Office Supplies,276.784,89.9548,East
CA-2017-125451,Adam Hart,Furniture,35.0,14.7,East
CA-2015-109190,Craig Carroll,Office Supplies,60.736,20.4984,Central
CA-2016-132829,Laura Armstrong,Furniture,2.328,-0.7566,Central
CA-2016-164574,Ritsa Hightower,Office Supplies,27.396,-20.0904,South
CA-2017-119284,Thomas Seio,Technology,2239.936,223.9936,South
US-2015-130512,Sean Miller,Office Supplies,49.568,15.49,East
CA-2016-154739,Logan Haushalter,Furniture,321.568,28.1372,West
CA-2016-138520,Jeremy Lonsdale,Office Supplies,8.26,3.7996,East
CA-2017-156951,Ellis Ballard,Office Supplies,81.088,27.3672,West
CA-2016-126529,Deanra Eno,Technology,15.588,-9.8724,East
CA-2017-167150,Ben Peterman,Office Supplies,19.936,7.2268,West
CA-2016-122133,Jim Radford,Office Supplies,552.56,0.0,East
CA-2017-125199,Harry Marie,Office Supplies,23.68,7.4,East
CA-2016-130407,Karen Daniels,Office Supplies,75.48,19.6248,East
CA-2016-168956,Erin Ashbrook,Office Supplies,6.976,1.8312,Central
CA-2017-110905,Robert Waldorf,Office Supplies,24.18,7.254,Central
CA-2017-117870,John Huston,Office Supplies,14.016,1.752,East
US-2017-147669,Susan Vittorini,Office Supplies,39.312,12.7764,East
CA-2017-128475,Steve Carroll,Technology,71.98,15.1158,South
CA-2014-107594,Eric Hoffmann,Technology,73.98,19.9746,East
CA-2017-112865,Brosina Hoffman,Technology,36.048,-0.9012,East
CA-2017-164049,Ken Heidel,Office Supplies,23.85,10.7325,West
CA-2014-138317,Natalie Webber,Furniture,3.984,0.6474,East
CA-2015-132486,Jay Fein,Furniture,191.968,16.7972,West
CA-2015-129896,Peter Fuller,Furniture,40.256,11.0704,West
US-2017-151316,Matthew Clasen,Office Supplies,182.994,-320.2395,Central
CA-2015-111990,Duane Benoit,Office Supplies,10.476,-17.2854,Central
CA-2016-116547,Ken Black,Technology,69.98,13.2962,West
CA-2016-140018,Chloris Kastensmidt,Technology,30.345,-24.276,East
CA-2016-149195,Don Miller,Office Supplies,25.92,9.072,Central
CA-2017-101574,Bruce Degenhardt,Furniture,9.24,4.4352,West
CA-2017-105487,Chris Selesnick,Office Supplies,40.68,0.4068,West
CA-2017-164378,Michelle Moray,Office Supplies,8.96,4.3904,East
CA-2016-127985,Daniel Byrd,Furniture,7.04,3.0976,South
US-2015-160857,Natalie Webber,Technology,2799.944,1014.9797,East
CA-2017-119011,Lisa Ryan,Office Supplies,17.22,5.166,West
CA-2017-116953,Susan Vittorini,Technology,552.0,34.5,West
CA-2016-124590,Susan Pistek,Furniture,449.372,-12.8392,East
CA-2015-158421,Giulietta Baptist,Office Supplies,121.96,57.3212,South
CA-2015-109337,Denise Leinenbach,Office Supplies,19.75,5.135,Central
