order_id,customer_name,category,sales,profit,region
US-2015-118983,Harold Pawlan,Office Supplies,2.544,-3.816,Central
CA-2016-137330,Ken Black,Office Supplies,60.34,15.6884,Central
CA-2014-133690,Bruce Stewart,Furniture,218.75,-161.875,West
CA-2017-145233,Dianna Vittorini,Technology,406.368,30.4776,West
CA-2014-113887,Tracy Hopkins,Office Supplies,55.48,26.6304,East
CA-2017-131954,Darrin Sayre,Office Supplies,18.72,6.552,West
CA-2017-114636,Guy Armstrong,Office Supplies,192.16,67.256,South
CA-2017-132353,Dave Brooks,Technology,323.976,20.2485,Central
CA-2017-105144,Sam Zeldin,Office Supplies,23.68,8.88,Central
US-2016-108455,Mike Kennedy,Office Supplies,33.87,8.8062,West
CA-2014-117345,Barbara Fisher,Furniture,44.128,12.1352,South
CA-2014-116407,Jamie Frazer,Office Supplies,24.896,7.78,South
US-2016-152051,Theresa Swint,Office Supplies,254.352,-50.8704,East
CA-2016-118913,Alan Shonely,Office Supplies,60.81,17.0268,West
CA-2017-149146,Sean Miller,Office Supplies,7.968,2.6892,South
US-2014-164616,Maxwell Schwartz,Office Supplies,9.184,1.148,East
CA-2015-153220,Yoseph Carroll,Office Supplies,15.7,7.065,West
CA-2017-165757,Paul Lucas,Office Supplies,10.332,-7.5768,East
CA-2015-112557,John Lucas,Office Supplies,206.43,90.8292,East
US-2017-156356,Natalie DeCherney,Office Supplies,2.896,-4.7784,Central
CA-2017-111332,Nat Carroll,Office Supplies,7.41,3.4827,Central
US-2015-114741,Ivan Liston,Office Supplies,14.94,6.8724,West
US-2014-143707,Hallie Redmond,Technology,5.94,1.6038,East
CA-2015-132948,Mark Van Huff,Office Supplies,83.7,3.348,West
CA-2014-138072,Guy Armstrong,Technology,27.968,6.992,East
US-2016-115952,Jonathan Howell,Office Supplies,28.85,14.425,Central
CA-2014-100090,Ed Braxton,Office Supplies,196.704,68.8464,West
CA-2014-169852,Sylvia Foulston,Office Supplies,36.36,12.2715,West
CA-2016-163328,Tracy Poddar,Office Supplies,629.184,228.0792,West
CA-2016-163804,Deborah Brumfield,Furniture,72.42,23.8986,East
US-2017-154872,Darren Powers,Office Supplies,5.04,1.764,East
CA-2016-112256,Chloris Kastensmidt,Office Supplies,4.448,0.3336,Central
CA-2015-119480,Craig Carroll,Office Supplies,106.32,49.9704,South
CA-2016-127243,David Smith,Technology,340.182,-73.7061,East
US-2017-160836,Cindy Chapman,Furniture,512.19,-65.853,Central
CA-2017-150469,Caroline Jumper,Office Supplies,11.84,5.6832,West
US-2014-115413,Paul Prost,Office Supplies,8.64,2.5056,East
CA-2017-167227,Nora Paige,Office Supplies,11.76,5.7624,Central
CA-2017-134810,Matt Connell,Office Supplies,65.232,22.0158,South
US-2014-149034,Ruben Dartt,Technology,47.496,-1.1874,East
CA-2014-119529,Denise Monton,Office Supplies,5.76,2.8224,East
CA-2017-113705,Lena Cacioppo,Office Supplies,17.64,8.1144,South
CA-2017-117702,Lindsay Shagiari,Office Supplies,1.64,0.738,East
